,Hotel Name,Price/Night,Reviews
49,Indulge in a Mountain Getaway at Moonridge Treehouse,"$1,083",/
50,Serenity Slopes - FREE Ski/Board Rental! 1BR/1BA/WiFi/Hot Tub/Near Bear Mountain,$509,Rating 3.88 out of 5; 8 reviews
51,Studio Cabin Queen - Cozy 12,$380,Rating 4.57 out of 5; 7 reviews
52,Cottage 7 Perfect Location enjoy Countryside,$355,/
53,Heavenly Cabin - FREE Ski/Board Rental! - 2BR/1.5BA/WiFi/Walk to Oktoberfest!,$549,Rating 4.40 out of 5; 5 reviews
54,Your Own Cabin - Blue Horizon Lodge Cabin 6,$444,Rating 4.89 out of 5; 9 reviews
55,Cabin 6 stand alone one bed room cabin,$289,/
56,Cabin 27 is stand alone 2 bedroom cabin,$369,Rating 4.0 out of 5; 11 reviews
57,"""Reality Escape"" Escape from reality in Cozy Cabin",$534,Rating 4.35 out of 5; 29 reviews
58,Teewinot - FREE Ski/Board Rental! 3BR/2BA/WiFi/Breathtaking Views,$719,Rating 4.86 out of 5; 7 reviews
59,2 Bedroom Villa with Kitchen Fireplace - Sleeps 9,$500,Rating 4.38 out of 5; 8 reviews
60,Less than 1 mile to Bear Mtn.- Easy Village Access,$627,Rating 4.84 out of 5; 25 reviews
61,Alaina’s retreat,$458,/
62,A Humble Hilltop Hideaway - FREE Ski/Snowboard Rental! - 2BR/2BA/WiFi/Dog Friendly with Fenced,$496,Rating 4.60 out of 5; 15 reviews
63,Lenny's Lodging Room,$188,Rating 4.40 out of 5; 30 reviews
64,Lenny's Lodging Room,$188,Rating 4.65 out of 5; 54 reviews
65,Lenny's Lodging Room,$188,Rating 4.56 out of 5; 46 reviews
66,Homey Cabin Close to Local Attractions!,$405,Rating 4.73 out of 5; 15 reviews
67,Cabin with Jetted Spa at Timber Haven Lodge,$405,Rating 4.14 out of 5; 22 reviews
68,Cabin 18 Single motel room with King size bed,$299,Rating 5.0 out of 5; 3 reviews
69,The Getaway - FREE Ski/Board Rental! 1BR/1BA/WiFi,$475,Rating 4.42 out of 5; 19 reviews
70,1 Bedroom Cabin with Fireplace,$320,Rating 4.0 out of 5; 10 reviews
71,Cozy Ski Retreat in Big Bear Ca w/large deck wi-fi,$867,Rating 4.57 out of 5; 14 reviews
72,Camp Big Bear - FREE Ski/Board Rental! - 3BR/1BA/Game Room/Foosball/WiFi,$614,Rating 4.57 out of 5; 7 reviews
73,Large Family Cabin at Cozy Hollow sleeps 8,$429,Rating 4.89 out of 5; 9 reviews
74,cabin 16  single room sleeps 3,$269,Rating 3.60 out of 5; 5 reviews
75,Big Bear by the Lake - 2 NIGHTS MINIMUM,$514,Rating 5.0 out of 5; 8 reviews
76,Bear Hug Hollow- Family Big Bear Experience,$741,Rating 4.96 out of 5; 25 reviews
77,Big Bear 4 Seasons Four - FREE Ski/Board Rental! - 1BR/1BA/HBO/WiFi/Walk to Lake,$323,Rating 4.33 out of 5; 6 reviews
78,Memory Maker Cabin - FREE Ski/Board Rental! - 2BR/2BA/WiFi/Walk to the Park,$482,/
79,Dream Getaway-Next to Village with Secluded Spa,"$1,232",Rating 4.93 out of 5; 142 reviews
80,Large Family Cabin at Cozy Hollow sleeps 8,$429,Rating 4.89 out of 5; 9 reviews
81,"""Reality Escape"" Escape from reality in Cozy Cabin",$534,Rating 4.35 out of 5; 29 reviews
82,Big Bear 4 Seasons Two - FREE Ski/Board Rental! - 1BR/1BA/HBO/WiFi/Walk to Lake,$309,Rating 3.50 out of 5; 4 reviews
83,Lakeside Cabin 9 - FREE Ski/Board Rental! - 1BR/1BA/WiFi/Mountain Views,$426,Rating 4.0 out of 5; 6 reviews
84,Lenny's Lodging Room,$188,Rating 4.43 out of 5; 21 reviews
85,Cabin in an Awesome Location (ADA Friendly),$462,Rating 4.90 out of 5; 21 reviews
86,Cabin 18 Single motel room with King size bed,$299,Rating 5.0 out of 5; 3 reviews
87,Cabin 27 is stand alone 2 bedroom cabin,$369,Rating 4.0 out of 5; 11 reviews
88,Cabin 17 Single  room King bed with fire place,$299,Rating 4.75 out of 5; 4 reviews
89,Cabin 2 is two bed rooms  sleep 7,$379,Rating 4.20 out of 5; 5 reviews
90,Cozy Cabin Close to Attractions (ADA Compliant),$462,Rating 4.73 out of 5; 11 reviews
91,Honey Bear - FREE Ski/Board Rental! - 2BR/1BA/WiFi/Pet friendly/Close to the Lake and Village,$480,Rating 4.17 out of 5; 6 reviews
92,The Great Escape - FREE Ski/Board Rental! 2BR/ 1BA/ WiFi,$446,Rating 4.67 out of 5; 3 reviews
93,Your Own Cabin - Blue Horizon Lodge Cabin 7,$433,Rating 4.73 out of 5; 11 reviews
94,Memory Maker Cabin - FREE Ski/Board Rental! - 2BR/2BA/WiFi/Walk to the Park,$482,/
95,Ski Slope Views - FREE Ski/Board Rental! 2BR/1BA/WiFi/Ski Slope Views/Walk to Shuttle,$508,Rating 3.80 out of 5; 5 reviews
96,Fireside Lodge Chalet Walk To Village,$373,Rating 4.18 out of 5; 22 reviews
97,Rincon Cabin - FREE Ski/Board Rental! 2BR/1BA/Close to the Lake/WiFi,$641,Rating 4.67 out of 5; 6 reviews
98,Moonridge Hideaway - FREE Ski/Board Rental! - 2BR/1BA/Walk to Slopes/WiFi/Cozy Fireplace,$558,Rating 4.48 out of 5; 21 reviews
99,Grizzly Bear - FREE Ski/Board Rental! - 1BR/1BA/Hot Tub/WiFi/Walk to Slopes!,$728,Rating 4.92 out of 5; 13 reviews
100,Amazing Ranch Style Home with Hot Tub,$655,Rating 4.46 out of 5; 93 reviews
101,Big Bear Cabin Near Everything w/ Parking! Pets Ok,$713,Rating 4.78 out of 5; 116 reviews
102,Cabin 21 queen studio with fire place,$339,Rating 3.67 out of 5; 6 reviews
103,Grizzly Bear - FREE Ski/Board Rental! - 1BR/1BA/Hot Tub/WiFi/Walk to Slopes!,$728,Rating 4.92 out of 5; 13 reviews
104,Log Cabin*Perfect Getaway for a Large Family.,$543,Rating 4.80 out of 5; 10 reviews
105,Lunar Lodge - FREE Ski/Board Rental! 2BR/2BA/Smart TV/WiFi/Forest Views,$558,/
106,High Bear Nation - FREE Ski/Board Rental! - 2BR/2BA/WiFi/Walk to Oktoberfest!,$520,Rating 3.71 out of 5; 7 reviews
107,Comfortable Cabin for a Small Family!,$548,Rating 4.80 out of 5; 15 reviews
108,Your Own Cabin - Blue Horizon Lodge Cabin 7,$433,Rating 4.73 out of 5; 11 reviews
109,Ski Slope Views - FREE Ski/Board Rental! 2BR/1BA/WiFi/Ski Slope Views/Walk to Shuttle,$508,Rating 3.80 out of 5; 5 reviews
110,"Entire Cabin(CLEAN) , HUGE Yard, Sleeps 10 w/ wifi",$987,/
111,Little Brown Bear - FREE Ski/Board Rental! 2BR/1BA/Hot Tub/Foosball/WiFi,$641,Rating 4.35 out of 5; 26 reviews
112,Honey Bear - FREE Ski/Board Rental! - 2BR/1BA/WiFi/Pet friendly/Close to the Lake and Village,$480,Rating 4.17 out of 5; 6 reviews
113,The Bear Lift - FREE Ski/Board Rental! 3BR/2BA/Fire Stick/WiFi/Mountain views,$800,/
114,Rincon Cabin - FREE Ski/Board Rental! 2BR/1BA/Close to the Lake/WiFi,$641,Rating 4.67 out of 5; 6 reviews
115,Treetop Falls - FREE Ski/Board Rental! 2BDR/2.5BA/WiFi,$692,Rating 4.17 out of 5; 12 reviews
116,The Spruce Moose - FREE Ski/Board Rental! 3BDR/ 2BA/ WiFi,$984,Rating 3.25 out of 5; 4 reviews
117,Moonridge Hideaway - FREE Ski/Board Rental! - 2BR/1BA/Walk to Slopes/WiFi/Cozy Fireplace,$558,Rating 4.48 out of 5; 21 reviews
118,Entire home Beautiful A-frame open space concept,$953,Rating 4.0 out of 5; 6 reviews
119,Cabin by the village,$656,Rating 4.94 out of 5; 17 reviews
120,Pines Cocoon - FREE Ski/Board Rental!  - 2BR/1BA/WiFi/Forest Views,$583,Rating 3.71 out of 5; 7 reviews
121,Harrison's Hanger - FREE Ski/Board Rental! - 3BR/2BA/WiFi,$584,Rating 4.29 out of 5; 7 reviews
122,Hidden Haven - FREE Ski/Board Rental! - 2BR/1BA/WiFi/Fireplace,$482,Rating 4.57 out of 5; 7 reviews
123,Heavenly Sky - FREE Ski/Board Rental! - 3BR/1BA/Pool table/Views/WiFi,$833,Rating 4.22 out of 5; 9 reviews
124,"""Reality Escape"" Escape from reality in Cozy Cabin",$534,Rating 4.35 out of 5; 29 reviews
125,Tomahawk - FREE Ski/Board Rental! 2BRM/ 2BA/ WiFi,$749,Rating 4.36 out of 5; 14 reviews
126,Dome In The Pines - 3BR/2BA/Hot tub/Pool Table/WiFi,"$1,010",Rating 4.75 out of 5; 4 reviews
127,Moonlight Lodge - FREE Ski/Board Rental! - 2BR/1BA/Close to Slopes/WiFi,$620,Rating 3.67 out of 5; 3 reviews
128,Wine Down - FREE Ski/Board Rental! 3BR/2BA/WiFi/Newly Remodeled,$664,Rating 3.86 out of 5; 7 reviews
129,Crater Lake Villa - FREE Ski/Board Rental! - 4BR/2.5BA/WiFi/Forest Views,$737,Rating 4.0 out of 5; 7 reviews
130,Sauer Suite  - FREE Ski/Board Rental! - 2BR/1BA/WiFi/Cable TVs/Walk to Lake,$487,Rating 3.67 out of 5; 3 reviews
131,Storyville - FREE Ski/Board Rental! - 2BR/1BA/WiFi/Hot Tub/Close to the Village,$641,Rating 4.33 out of 5; 3 reviews
132,Cabin 11 stand alone 2 bedrooms sleep 6,$539,Rating 4.57 out of 5; 8 reviews
133,Lakefront Retreat - FREE Ski/Board Rental! - 3BR/1BA/Gorgeous Views,$496,/
134,Newly Remodeled Cabin Close to Ski Slopes,$769,Rating 5.0 out of 5; 42 reviews
135,The Petite Cabin - FREE Ski/Board Rental! 2BDRM/ 2 BA/ WiFi,$526,Rating 3.67 out of 5; 3 reviews
136,The Wolf Den - FREE Ski/Board Rental! 2BDR/ 2BA/ WiFi,$551,Rating 3.75 out of 5; 4 reviews
137,Canyon Cabin - FREE Ski/Board Rental! - 2BR/1.5BA/WiFi/Netflix,$548,Rating 4.55 out of 5; 11 reviews
138,Fireside Lodge Cabin L/View Walk To Village,$510,Rating 4.82 out of 5; 11 reviews
139,Tranquil Mountain Cabin - FREE Ski/Board Rental! 3BDR/2BR/WiFi,$595,/
140,3 Little Bears Cabin - FREE Ski/Snowboard Rental! 2BR/1BA/Walk to Ski Shuttle/WiFi,$494,Rating 4.71 out of 5; 7 reviews
141,"Entire Cabin(CLEAN) , HUGE Yard, Sleeps 10 w/ wifi",$987,/
142,The Fox Paw - FREE Ski/Board Rental! 2BR/ 2.5BA/ WiFi,$871,Rating 4.30 out of 5; 10 reviews
143,Lakeside Condo - FREE Ski/Board Rental! - 2BD/2BA/WiFi/Walk to Lake,$543,/
144,Dome In The Pines - 3BR/2BA/Hot tub/Pool Table/WiFi,"$1,010",Rating 4.75 out of 5; 4 reviews
145,The Petite Cabin - FREE Ski/Board Rental! 2BDRM/ 2 BA/ WiFi,$526,Rating 3.67 out of 5; 3 reviews
146,The Lingard Lodge -FREE Ski/Board Rental! 3BDRM/ 2BA/ WiFi,$576,Rating 4.0 out of 5; 6 reviews
147,Wine Down - FREE Ski/Board Rental! 3BR/2BA/WiFi/Newly Remodeled,$664,Rating 3.86 out of 5; 7 reviews
148,"Cozy, Quiet & Spacious Big Bear Retreat","$1,237",Rating 4.82 out of 5; 301 reviews
149,Bear Haus - FREE Ski/Board Rental! 3BR/1.5BA/WiFi/Large Deck,$581,/
150,Canyon Cabin - FREE Ski/Board Rental! - 2BR/1.5BA/WiFi/Netflix,$548,Rating 4.55 out of 5; 11 reviews
151,Little Swiss Inn - FREE Ski/Board Rental! 3BR/1BA/WiFi/Cable TV/Wrap around Deck,$692,Rating 3.86 out of 5; 7 reviews
152,Viking Bear Lair Lakefront Condo - 2BD/2BA/Smart TVs/Fireplaces/WiFi,$628,/
153,Newly Remodeled Cabin Close to Ski Slopes,$769,Rating 5.0 out of 5; 42 reviews
154,Cardinal Ridge - FREE Ski/Board Rental! - 2BR/2BA/Fireplace,$532,Rating 3.75 out of 5; 4 reviews
155,Mountain Haven - FREE Ski/Board Rental! - 3BR/2BA/Lakefront Complex/WiFi,$627,/
156,Rest N Relax Inn - FREE Ski/Board Rental! 3BR/2BA/WiFi/Roku/Hulu Plus,$765,Rating 3.25 out of 5; 4 reviews
157,"Rustic Cabin*Minutes to Lake,Village & Ski Resorts",$468,/
158,Ridenour Retreat - FREE Ski/Board Rental! 3BR/2BA/WiFi/Pool Table/Foosball/Ping Pong/Jet Tub,$896,Rating 3.0 out of 5; 3 reviews
159,Fox & Swan Chalet - FREE Ski/Board Rental! - 4BR/2.5BA/Hot Tub/WiFi/Pool Table/Walk to Ski,$978,/
160,Sledhill Lodge - FREE Ski/Board Rental! 3BR/2.5BA/Walk to Slopes/WiFi/,$743,Rating 3.33 out of 5; 3 reviews
161,Swan Lake Manor - FREE Ski/Board Rental! 3BR/2BA/Hot Tub/WiFi,"$1,175",Rating 5.0 out of 5; 3 reviews
162,Crescenta Heights - FREE Ski/Board Rental!,$697,Rating 3.25 out of 5; 4 reviews
163,The Hoonderosa - FREE Ski/Board Rental! 3BR/ 2BA/ WiFi,$971,Rating 4.80 out of 5; 5 reviews
164,Four Seasons Retreat - FREE Ski/Board Rental! - 3BR/2BA/WiFi/Hot Tub/Gorgeous Views,$669,Rating 3.0 out of 5; 3 reviews
165,Peaceful Pines - FREE Ski/Board Rental! - 2BR/2BA/Pool Table/WiFi/Walk to Shuttle,$786,Rating 5.0 out of 5; 6 reviews
166,Kiwi Cabin - FREE Ski/Board Rental! -  3BR/1BA/Fireplace/Wooded Neighborhood/Mountain Views,$695,Rating 3.50 out of 5; 10 reviews
167,Summit Lifts and Logs Cabin - FREE Ski/Board Rental! 3BR/2BA/WiFi/Game Room/Walk to Summit,$863,Rating 4.60 out of 5; 10 reviews
168,Lakeside Condo - FREE Ski/Board Rental! - 2BD/2BA/WiFi/Walk to Lake,$543,/
169,Jheen Cabin Retreat - FREE Ski/Board Rental! -  3BR/2BA/WiFi/Close to Lake,$698,/
170,The Slopes Condo - FREE Ski/Board Rental! 2BRM/ 1.5BA/ WiFi,$660,Rating 4.43 out of 5; 7 reviews
171,Fireside Family Suite Walk To Village,$510,Rating 4.50 out of 5; 4 reviews
172,Bear Haus - FREE Ski/Board Rental! 3BR/1.5BA/WiFi/Large Deck,$581,/
173,Lakefront Retreat - FREE Ski/Board Rental! - 3BR/1BA/Gorgeous Views,$984,/
174,Cozy 2 BDR Cabin #9 Sleeps 12,$832,Rating 4.17 out of 5; 6 reviews
175,Log Cabin Getaway - FREE Ski/Board Rental! 4BR/2BA/WiFi/Roku/Fireplace,"$1,009",Rating 3.25 out of 5; 8 reviews
176,Pankratz Pines - FREE Ski/Board Rental!3BR/2.5BA/Jet Tub/WiFi/Close to Ski,$947,Rating 4.60 out of 5; 5 reviews
177,Comfy Cabin — Home Away From Home!,$902,Rating 4.60 out of 5; 5 reviews
178,Fireside  Lake View Spa King Suite Walk to village,$487,Rating 4.67 out of 5; 3 reviews
179,Give Thanks - FREE Ski/Board Rental! - 3BR/1BA/WiFi/Close to the Village,$635,Rating 4.25 out of 5; 4 reviews
180,Kiwi Cabin - FREE Ski/Board Rental! -  3BR/1BA/Fireplace/Wooded Neighborhood/Mountain Views,$695,Rating 3.50 out of 5; 10 reviews
181,Jheen Cabin Retreat - FREE Ski/Board Rental! -  3BR/2BA/WiFi/Close to Lake,$698,/
182,Jus Relax Inn - FREE Ski/Board Rental! - 3BR/2BA/WiFi/Hot Tub/Air Hockey/Foosball,$800,Rating 2.75 out of 5; 4 reviews
183,Mountain Bearadise - FREE Ski/Board Rental! 3BR/1BA/WiFi/Cable TV/Fireplace/Hot Tub,$774,/
184,Peaceful Pines - FREE Ski/Board Rental! - 2BR/2BA/Pool Table/WiFi/Walk to Shuttle,$786,Rating 5.0 out of 5; 6 reviews
185,Bay Meadows Cabin Near the Lake & Village!,"$1,096",Rating 4.50 out of 5; 4 reviews
186,Comfy Cabin — Home Away From Home!,$902,Rating 4.60 out of 5; 5 reviews
187,Golden Bear - FREE Ski/Board Rental! - 4BR/2BA/WiFi/Netflix/HBO/Air Hockey,$783,/
188,Cozy 2 BDR Cabin #9 Sleeps 12,$832,Rating 4.17 out of 5; 6 reviews
189,Liberty Summit Chalet - FREE Ski/Board Rental! - 3BD/2BA/WiFi/Walk to Slopes,$730,Rating 2.0 out of 5; 3 reviews
190,Summit Bearadise - FREE Ski/Board Rental! 3BR/1.5BA/WiFi/Netflix/Walk to Summit,$921,Rating 3.86 out of 5; 7 reviews
191,Quiz Cottage - FREE Ski/Board Rental!  - 2BR/2BA/WiFi/Walk to Lake and Village,$961,/
192,Pankratz Pines - FREE Ski/Board Rental!3BR/2.5BA/Jet Tub/WiFi/Close to Ski,$947,Rating 4.60 out of 5; 5 reviews
193,Log Cabin Getaway - FREE Ski/Board Rental! 4BR/2BA/WiFi/Roku/Fireplace,"$1,009",Rating 3.25 out of 5; 8 reviews
194,Fun For All - FREE Ski/Board Rental! - 3BR/2BA/Foosball//Jet Tub/WiFi,$685,Rating 2.75 out of 5; 4 reviews
195,Red Chalet  - FREE Ski/Board Rental! - 4BR/3BA/Fireplace/WiFi/Walk to Slopes,"$1,067",/
196,Forest Walk Cabin  -FREE Ski/Board Rental! 4BR/3BA/Walk to Snow Oktoberfest!,$890,/
197,Cozy Cabin — Great for a Group!,"$1,039",Rating 4.40 out of 5; 5 reviews
198,Charming Cabin Close to Attractions !,$968,/
199,McWhinney The Pooh's Den - FREE Ski/Board Rental! - 3BR/2BA/Pool Table/Foosball/WiFi,"$1,022",Rating 4.33 out of 5; 3 reviews
200,McWhinney Summit - FREE Ski/Board Rental! - 4BR/2BA/WiFi/Smart TV/Walk to Ski,"$1,022",Rating 5.0 out of 5; 3 reviews
201,Alpine Lakefront  FREE Ski/Board Rental! - 3BR/2.5BA/Firework Views/WiFi/Hot Tub/Pool Table,"$1,737",/
202,Best View - FREE Ski/Board Rental! 3BR/3BA/Panoramic Lakeviews/Hot Tub/WiFi/Pool Table,"$1,913",/
203,2bdm Condo Big Bear WM Resort,$622,Rating 4.74 out of 5; 20 reviews
204,Lakeview Haven - FREE Ski/Board Rental! - 4BD/3BA/Game Room/WiFi/Hot Tub,"$1,385",Rating 4.25 out of 5; 4 reviews
205,Mountain Fever - FREE Ski/Board Rental! 4BD/2BA/Game Room/WiFi,"$1,149",/
206,Lakeview Court Castle - FREE Ski/Board Rental! - 6BR/5BA/Steps to the Lake! WiFi/Game Room,"$2,264",Rating 4.0 out of 5; 5 reviews
207,Big Bear Cabin BIG for Big Families !,"$1,510",Rating 4.73 out of 5; 11 reviews
208,Lovely Cabin Sleeps Up to 18 Guests !,"$1,652",Rating 4.57 out of 5; 15 reviews
209,Big Bear Cabin — Make Your Trip Memorable!,"$1,367",Rating 5.0 out of 5; 3 reviews
